,Lon,Lat,grid_coords
555,-91.625,12.875,"(51, 7)"
556,-91.625,13.125,"(52, 7)"
557,-91.625,13.375,"(53, 7)"
558,-91.625,13.625,"(54, 7)"
559,-91.625,13.875,"(55, 7)"
560,-91.625,14.125,"(56, 7)"
561,-91.625,14.375,"(57, 7)"
562,-91.625,14.625,"(58, 7)"
563,-91.625,14.875,"(59, 7)"
564,-91.625,15.125,"(60, 7)"
565,-91.625,15.375,"(61, 7)"
566,-91.625,15.625,"(62, 7)"
567,-91.625,15.875,"(63, 7)"
568,-91.625,16.125,"(64, 7)"
569,-91.625,16.375,"(65, 7)"
570,-91.625,16.625,"(66, 7)"
571,-91.625,16.875,"(67, 7)"
572,-91.625,17.125,"(68, 7)"
573,-91.625,17.375,"(69, 7)"
574,-91.625,17.625,"(70, 7)"
575,-91.625,17.875,"(71, 7)"
576,-91.375,0.125,"(0, 8)"
577,-91.375,0.375,"(1, 8)"
578,-91.375,0.625,"(2, 8)"
579,-91.375,0.875,"(3, 8)"
580,-91.375,1.125,"(4, 8)"
581,-91.375,1.375,"(5, 8)"
582,-91.375,1.625,"(6, 8)"
583,-91.375,1.875,"(7, 8)"
584,-91.375,2.125,"(8, 8)"
585,-91.375,2.375,"(9, 8)"
586,-91.375,2.625,"(10, 8)"
587,-91.375,2.875,"(11, 8)"
588,-91.375,3.125,"(12, 8)"
589,-91.375,3.375,"(13, 8)"
590,-91.375,3.625,"(14, 8)"
591,-91.375,3.875,"(15, 8)"
592,-91.375,4.125,"(16, 8)"
593,-91.375,4.375,"(17, 8)"
594,-91.375,4.625,"(18, 8)"
595,-91.375,4.875,"(19, 8)"
596,-91.375,5.125,"(20, 8)"
597,-91.375,5.375,"(21, 8)"
598,-91.375,5.625,"(22, 8)"
599,-91.375,5.875,"(23, 8)"
600,-91.375,6.125,"(24, 8)"
601,-91.375,6.375,"(25, 8)"
602,-91.375,6.625,"(26, 8)"
603,-91.375,6.875,"(27, 8)"
604,-91.375,7.125,"(28, 8)"
605,-91.375,7.375,"(29, 8)"
606,-91.375,7.625,"(30, 8)"
607,-91.375,7.875,"(31, 8)"
608,-91.375,8.125,"(32, 8)"
609,-91.375,8.375,"(33, 8)"
610,-91.375,8.625,"(34, 8)"
611,-91.375,8.875,"(35, 8)"
612,-91.375,9.125,"(36, 8)"
613,-91.375,9.375,"(37, 8)"
614,-91.375,9.625,"(38, 8)"
615,-91.375,9.875,"(39, 8)"
616,-91.375,10.125,"(40, 8)"
617,-91.375,10.375,"(41, 8)"
618,-91.375,10.625,"(42, 8)"
619,-91.375,10.875,"(43, 8)"
620,-91.375,11.125,"(44, 8)"
621,-91.375,11.375,"(45, 8)"
622,-91.375,11.625,"(46, 8)"
623,-91.375,11.875,"(47, 8)"
624,-91.375,12.125,"(48, 8)"
625,-91.375,12.375,"(49, 8)"
626,-91.375,12.625,"(50, 8)"
627,-91.375,12.875,"(51, 8)"
628,-91.375,13.125,"(52, 8)"
629,-91.375,13.375,"(53, 8)"
630,-91.375,13.625,"(54, 8)"
631,-91.375,13.875,"(55, 8)"
632,-91.375,14.125,"(56, 8)"
633,-91.375,14.375,"(57, 8)"
634,-91.375,14.625,"(58, 8)"
635,-91.375,14.875,"(59, 8)"
636,-91.375,15.125,"(60, 8)"
637,-91.375,15.375,"(61, 8)"
638,-91.375,15.625,"(62, 8)"
639,-91.375,15.875,"(63, 8)"
640,-91.375,16.125,"(64, 8)"
641,-91.375,16.375,"(65, 8)"
642,-91.375,16.625,"(66, 8)"
643,-91.375,16.875,"(67, 8)"
644,-91.375,17.125,"(68, 8)"
645,-91.375,17.375,"(69, 8)"
646,-91.375,17.625,"(70, 8)"
647,-91.375,17.875,"(71, 8)"
648,-91.125,0.125,"(0, 9)"
649,-91.125,0.375,"(1, 9)"
650,-91.125,0.625,"(2, 9)"
651,-91.125,0.875,"(3, 9)"
652,-91.125,1.125,"(4, 9)"
653,-91.125,1.375,"(5, 9)"
654,-91.125,1.625,"(6, 9)"
655,-91.125,1.875,"(7, 9)"
656,-91.125,2.125,"(8, 9)"
657,-91.125,2.375,"(9, 9)"
658,-91.125,2.625,"(10, 9)"
659,-91.125,2.875,"(11, 9)"
660,-91.125,3.125,"(12, 9)"
661,-91.125,3.375,"(13, 9)"
662,-91.125,3.625,"(14, 9)"
663,-91.125,3.875,"(15, 9)"
664,-91.125,4.125,"(16, 9)"
665,-91.125,4.375,"(17, 9)"
666,-91.125,4.625,"(18, 9)"
667,-91.125,4.875,"(19, 9)"
668,-91.125,5.125,"(20, 9)"
669,-91.125,5.375,"(21, 9)"
670,-91.125,5.625,"(22, 9)"
671,-91.125,5.875,"(23, 9)"
672,-91.125,6.125,"(24, 9)"
673,-91.125,6.375,"(25, 9)"
674,-91.125,6.625,"(26, 9)"
675,-91.125,6.875,"(27, 9)"
676,-91.125,7.125,"(28, 9)"
677,-91.125,7.375,"(29, 9)"
678,-91.125,7.625,"(30, 9)"
679,-91.125,7.875,"(31, 9)"
680,-91.125,8.125,"(32, 9)"
681,-91.125,8.375,"(33, 9)"
682,-91.125,8.625,"(34, 9)"
683,-91.125,8.875,"(35, 9)"
684,-91.125,9.125,"(36, 9)"
685,-91.125,9.375,"(37, 9)"
686,-91.125,9.625,"(38, 9)"
687,-91.125,9.875,"(39, 9)"
688,-91.125,10.125,"(40, 9)"
689,-91.125,10.375,"(41, 9)"
690,-91.125,10.625,"(42, 9)"
691,-91.125,10.875,"(43, 9)"
692,-91.125,11.125,"(44, 9)"
693,-91.125,11.375,"(45, 9)"
694,-91.125,11.625,"(46, 9)"
